,Jeu,Commentaire,Commentaire_English
257,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
258,Grand Theft Auto VI,90 million views in 24 hours is insane. Goes to show how anticipated and iconic this series truly is.,en
259,Grand Theft Auto VI,"Meu console favorito de todo o sempre, tenho minha coleção de Gamecube faz um bom tempo já, até hoje compro jogos dele que são caríssimos mas como já tenho coleção, não compensa mais desbloquear, vídeo muito bom ",pt
260,Grand Theft Auto VI,Finally Los Santos will be safe after 10 years,en
261,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
262,Grand Theft Auto VI,This is such a huge leap from gta 5 its unfathomable,en
263,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
264,Grand Theft Auto VI,"I want to give a huge thank you to Michael, Franklin and Trevor for keeping us company for 12 years .",en
265,Grand Theft Auto VI,"As someone who's had thoughts about deleting themselves for so long. For the first time in a long while, I want to live. I want to live to play this game. ",en
266,Grand Theft Auto VI,J’arrive toujours pas à m’en remettre de ce premier trailer 🥹,fr
267,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
268,Grand Theft Auto VI,OMG this looks amazing,en
269,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
270,Grand Theft Auto VI,Rest in peace to all the fans who couldn’t live long enough to witness this ,en
271,Grand Theft Auto VI,Thank you Mr. Sam Houser️,en
272,Grand Theft Auto VI,I’m really stoked that the last GTA I ever play will be at Vice City ,en
273,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
274,Grand Theft Auto VI,Queroooo muitoooooo ! Já amanhã! Estes jogos nunca podem acabar ! Rock star incríveis jogos! Meus favoritos!,pt
275,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
276,Grand Theft Auto VI,60 DAYS LATER STILL A BANGER,de
277,Grand Theft Auto VI,Sephine: Lucia come here and have a seat  Stephine : Do you know why you here Lucia : bad luck i  guess,en
278,Grand Theft Auto VI,Graphic look more realistic than real life.,en
279,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
280,Grand Theft Auto VI,I'm looking forward to it!,en
281,Grand Theft Auto VI,Boys you know what time it is. We all know what time it is time,en
282,Grand Theft Auto VI,97 million is literally insane. What a historical event for a video game. The game looks absolutely phenomenal.,en
283,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
284,Grand Theft Auto VI,Es un honor estar aquí con vosotros camaradas...lo conseguimos...,es
285,Grand Theft Auto VI,"2025: 
Rockstar: releases:",en
286,Grand Theft Auto VI,Oh my God just now I'm thinking about all the Easter eggs this game is gonna have,en
287,Grand Theft Auto VI,Oh my god I want to play grand theft auto VI,en
288,Grand Theft Auto VI,"Pay respects for those people that didn't make it to this moment, and waited so long since 2013 for this trailer and game. Rest in Peace brothers and sisters.",en
289,Grand Theft Auto VI,Cant wait for this to be remastered on 3 generation of consoles XD,en
290,Grand Theft Auto VI,"The graphics look pretty realistic Grand Theft Auto VI like in a video shoot! Maybe I am not waiting for the release of this game, but I will watch the gameplay of this game!",en
291,Grand Theft Auto VI,Day 64 of rewatching this trailer,en
